WATER_SYST,ZIP_CODE
CA4400528,95066
CA1810004,96130
CA2207006,95306
CA3200101,95971
CA3700919,92027
CA3700919,92082
CA4900707,95472
CA3600172,92364
CA1000200,93706
CA4901139,94952
CA0500050,95230
CA4610001,96118
CA1900303,93544
CA1900303,93543
CA2702486,93426
CA3510502,95043
CA4000808,93420
CA1400008,93514
CA4500092,96002
CA1200831,95570
CA4901234,95476
CA3500576,95004
CA2702209,93920
CA3301528,92592
CA4400906,95065
CA4400906,95060
CA4400903,95076
CA0610004,95987
CA5500092,95370
CA1900808,93536
CA1900808,93534
CA0900417,95651
CA2701153,93907
CA0400132,95982
CA1210020,95521
CA1210020,95519
CA1710003,95457
CA1710003,95422
CA4400530,95073
CA4400756,95073
CA4400754,95076
CA4400725,95076
CA4400751,95060
CA3010064,92708
CA3010064,92647
CA3010064,92655
CA3010064,92683
CA3010064,92843
CA3010064,90740
CA3010064,92844
CA3010064,92845
CA3010064,92841
CA5500116,95327
CA0300011,95642
CA5310003,96052
CA5310003,96091
CA4901024,95441
CA3310002,92555
CA3310002,92223
CA3310002,92220
CA3310002,92373
CA3310002,92320
CA3310002,92399
CA4700705,96050
CA2710020,95076
CA3610053,92373
CA3610053,92374
CA3610053,92399
CA4700686,96067
CA1900038,93534
CA1200733,95546
CA0900565,96150
CA5200512,96080
CA1010007,93725
CA1010007,93706
CA1010007,93721
CA1010007,93702
CA1010007,93737
CA1010007,93701
CA1010007,93727
CA1010007,93728
CA1010007,93741
CA1010007,93703
CA1010007,93705
CA1010007,93723
CA1010007,93726
CA1010007,93704
CA1010007,93722
CA1010007,93612
CA1010007,93611
CA1010007,93657
CA1010007,93710
CA1010007,93711
CA1010007,93650
CA1010007,93720
CA1010007,93730
CA1010007,93619
CA1010007,93637
CA1010007,93636
CA1500459,93225
CA4900588,95442
CA4900588,95452
CA4900588,95409
CA1010007,93725
CA1010007,93706
CA1010007,93721
CA1010007,93702
CA1010007,93737
CA1010007,93701
CA1010007,93727
CA1010007,93728
CA1010007,93741
CA1010007,93703
CA1010007,93705
CA1010007,93723
CA1010007,93726
CA1010007,93704
CA1010007,93722
CA1010007,93612
CA1010007,93611
CA1010007,93710
CA1010007,93711
CA1010007,93650
CA1010007,93720
CA1010007,93730
CA1010007,93619
CA1010007,93637
CA1010007,93636
CA4901120,95476
CA3301588,92561
CA0400027,95965
CA4500016,96051
CA2702503,93924
CA3310033,91752
CA1910239,90808
CA1910239,90807
CA1910239,90715
CA1910239,90712
CA1910239,90713
CA1910239,90805
CA1910239,90703
CA1910239,90706
CA3400130,95615
CA5400728,93265
CA0400023,95965
CA0500043,95364
CA0500043,95223
CA1910003,91732
CA1910003,91731
CA1910003,91706
CA1910003,91780
CA1910003,91775
CA1910003,91007
CA1910003,91006
CA1910003,91016
CA1910003,91107
CA1910003,91024
CA0310004,95669
CA2000509,93643
CA1910030,90094
CA1910030,90066
CA1910030,90045
CA1910030,90056
CA1910030,90230
CA1910030,90008
CA1910030,90232
CA1910030,90016
CA1910030,90034
CA0400123,95942
CA5610040,91361
CA5610040,91320
CA5610040,93012
CA5610040,91360
CA0400090,95942
CA2700837,93907
CA1910028,91208
CA1910028,91011
CA1910028,91020
CA1910028,91214
CA0706007,94513
